long,lat,ps_q_test_data,ps_q_predicted,residual
-125.71591,45.49861667,3492.3610678579,3489.8011526683963,2.5599151895034993
-128.2875,46.7646,3002.1066136788,3008.216729877381,-6.110116198581181
-124.1,46.85,3594.406856361,3539.889355662614,54.5175006983859
-126.086,47.2958,3434.4257105303,3434.669047949256,-0.243337418955889
-125.939,46.976,3466.6988215054,3469.549402853039,-2.850581347639036
-130.116,47.1483,3078.3209936964,3106.6833798476337,-28.36238615123375
-129.7667,46.9667,2950.1977090679,2944.1332326644183,6.064476403481876
-125.77255,45.42638333,3482.5336872087,3485.605446240922,-3.071759032221962
-129.7333,47.15,2946.8530885537,2941.847254294339,5.005834259361109
-125.7217567,45.42978833,3492.079719957,3490.156428854017,1.9232911029830575
-125.6,46.0833,3501.0059352971,3503.2488185725533,-2.242883275453096
-126.23025,46.7401,3413.3648712316,3412.8939827891427,0.47088844245718064
-128.2631,46.7575,3002.1066136788,3008.4091727210784,-6.302559042278517
-126.6167,46.3167,3356.740134755,3356.724776277705,0.015358477294739714
-129.7333,47.15,2946.8530885537,2941.847254294339,5.005834259361109
-127.7833,46.6167,3137.7075589563,3138.196371554568,-0.4888125982679412
-126.6167,46.3167,3356.740134755,3356.724776277705,0.015358477294739714
-126.149,47.2673,3434.4257105303,3436.01780745457,-1.5920969242702085
-126.191,47.4567,3431.6905399595,3430.555541530402,1.1349984290977773
-126.258,47.4583,3413.1689955862,3412.8773169164047,0.29167866979514656
-126.355,47.4483,3389.7765368338,3390.775974798257,-0.9994379644567744
-125.73265,46.78463333,3491.1122860201,3483.197362643044,7.914923377055857
-125.7471283,45.42801667,3492.079719957,3491.4750382959432,0.6046816610569294
-125.971,46.9883,3449.3191177102,3444.937489088599,4.381628621601067
-126.1962,46.6721,3413.3648712316,3413.4375175138453,-0.07264628224538683
-126.181,47.4565,3431.6905399595,3430.555541530402,1.1349984290977773
-126.325,47.4567,3413.1689955862,3412.8773169164047,0.29167866979514656
-125.941,46.9767,3466.6988215054,3468.400772251885,-1.7019507464851813
-127.2453,46.4757,3253.9048583873,3253.9745650516343,-0.06970666433426231
-126.356,47.4498,3389.7765368338,3390.775974798257,-0.9994379644567744
-126.144,47.2392,3431.7832626207,3433.6679693955757,-1.8847067748756672
-126.6167,46.3167,3356.740134755,3356.724776277705,0.015358477294739714
-125.69365,46.78803333,3491.1122860201,3485.462648183538,5.649637836561851
-125.89,47.0642,3466.7302095207,3467.673515317569,-0.9433057968690264
-130.816666,45.8,3140.2775105374,3158.264207552277,-17.986697014877336
-129.7333,47.15,2946.8530885537,2941.847254294339,5.005834259361109
-126.1830167,46.74445,3413.3648712316,3413.539149812275,-0.1742785806750362
-126.224,47.4575,3431.6905399595,3429.3258015017514,2.3647384577484445
-126.078,47.2947,3434.4257105303,3434.669047949256,-0.243337418955889
-125.15167,45.00667,3567.1595793273,3555.4053744112884,11.754204916011531
-125.923,47.0793,3466.7302095207,3468.1142906827604,-1.3840811620602835
-126.6167,46.3167,3356.740134755,3356.724776277705,0.015358477294739714
-126.161,47.455,3431.6905399595,3430.5118935854043,1.1786463740954787
-125.6,46.0833,3501.0059352971,3503.2488185725533,-2.242883275453096
-126.15068,46.67623,3413.3648712316,3413.452833668401,-0.08796243680126281
-126.6167,46.3167,3356.740134755,3356.724776277705,0.015358477294739714
