long,lat,ps_q_test_data,ps_q_predicted,residual
-127.784,47.7138,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-129.2017,48.0167,2685.639247736,2685.689427630753,-0.05017989475300055
-128.572,47.8713,2878.245212131,2878.240629046922,0.004583084077694366
-128.6583,48.4433,2811.7491632707,2811.7578454282084,-0.008682157508246746
-128.5963,47.9145,2878.245212131,2878.213150881853,0.0320612491468637
-128.598,47.9333,2878.245212131,2878.2355805896846,0.009631541315229697
-128.519,47.917,2916.2232904344,2916.44896967468,-0.22567924027998743
-128.609,47.9347,2878.245212131,2878.2355805896846,0.009631541315229697
-128.7267,48.4467,2811.7491632707,2811.7578454282084,-0.008682157508246746
-127.7874,47.7079,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-127.765,47.7047,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-127.6332,47.7752,3162.108405399,3162.0311341951647,0.07727120383515285
-128.72,48.46,2769.2029863319,2769.204975975411,-0.001989643511024042
-127.7871,47.7107,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-128.8083,48.455,2705.0164040388,2705.0596524132734,-0.04324837447347818
-128.72,48.46,2769.2029863319,2769.204975975411,-0.001989643511024042
-128.7,48.48,2769.2029863319,2769.194218606627,0.008767725272718963
-128.7092,48.4557,2769.2029863319,2769.210507067718,-0.007520735818161484
-126.448,48.2278,3375.1494232415,3374.4024622513534,0.7469609901463627
-128.7583,48.4,2754.9414054739,2754.973076625459,-0.03167115155883948
-128.7133,48.4483,2811.7491632707,2811.7578454282084,-0.008682157508246746
-128.704,48.4544,2769.2029863319,2769.210507067718,-0.007520735818161484
-126.729,48.0948,3336.73177333,3336.8340172944395,-0.10224396443936712
-128.7733,48.5167,2705.0164040388,2704.812740812877,0.20366322592280994
-127.749,47.8417,3142.6228468161,3142.7704661762136,-0.14761936011382204
-128.53,48.4483,2882.6872695165,2882.8431448948604,-0.15587537836063348
-128.64,48.48,2825.8179495516,2825.883830805323,-0.0658812537230915
-128.64,48.48,2825.8179495516,2825.883830805323,-0.0658812537230915
-128.7083,47.8715,2834.3047659322,2834.35305525389,-0.048289321689935605
-128.59,47.8753,2878.245212131,2878.2408152688427,0.004396862157136638
-129.091,47.9548,2560.127769167,2560.41490520203,-0.28713603502956175
-128.7076,48.4553,2769.2029863319,2769.210507067718,-0.007520735818161484
-128.64,48.42,2855.8739348421,2855.8534058282594,0.02052901384058714
-126.85,48.67,3339.4387916936,3339.3836954276285,0.055096265971315006
-127.7847,47.7099,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-126.916,48.6404,3290.2629453226,3289.317587859063,0.9453574635367659
-128.46,48.44,2882.6872695165,2883.043272481223,-0.3560029647233023
-127.666,47.7216,3154.2857068972,3154.253630392528,0.03207650467174972
-128.7109,48.4569,2769.2029863319,2769.210507067718,-0.007520735818161484
-128.7141,48.4542,2769.2029863319,2769.210507067718,-0.007520735818161484
-128.598,47.898,2878.245212131,2878.2408152688427,0.004396862157136638
-127.793,47.7119,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-127.372,47.7808,3209.5933180351,3207.8393202885586,1.7539977465412449
-128.6983,48.4767,2769.2029863319,2769.1998523249267,0.0031340069731413678
-126.85,48.665,3339.4387916936,3339.294563884331,0.14422780926861378
-127.6242,47.8762,3150.368866106,3150.3471922638914,0.021673842108612007
-127.786,47.7103,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-128.6778,48.4345,2811.7491632707,2811.7578454282084,-0.008682157508246746
-128.6933,48.29,2813.8065882036,2813.8135530185823,-0.006964814982438838
-127.639,47.8963,3150.368866106,3150.326464979318,0.042401126681852475
-128.7116,48.4589,2769.2029863319,2769.210507067718,-0.007520735818161484
-128.655,48.4517,2769.2029863319,2769.210507067718,-0.007520735818161484
-127.6608,47.8277,3142.6228468161,3142.6528727989503,-0.030025982850474975
-128.7,47.8717,2834.3047659322,2834.35305525389,-0.048289321689935605
-127.789,47.7194,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-128.77,48.36,2754.9414054739,2754.9011141858846,0.040291288015396276
-128.7068,48.4535,2769.2029863319,2769.210507067718,-0.007520735818161484
-127.765,47.7054,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-127.705,47.8953,3125.1944595484,3125.223364819531,-0.028905271130952315
-128.685,48.4367,2811.7491632707,2811.7578454282084,-0.008682157508246746
-128.6828,48.4299,2811.7491632707,2811.7578454282084,-0.008682157508246746
-126.87,48.665,3324.081514627,3324.0617698030183,0.019744823981909576
-129.096,47.9553,2560.127769167,2560.6236488751165,-0.4958797081162629
-128.78,48.42,2754.9414054739,2754.9401052665276,0.0013002073724237562
-127.714,47.7318,3154.2857068972,3154.2208555490784,0.06485134812146498
-128.7533333,48.82166667,2789.7738354735,2790.25468438561,-0.48084891210965
-128.84,48.36,2754.9414054739,2754.9245969947906,0.0168084791093861
-128.633,47.9406,2878.245212131,2878.224876602819,0.020335528180567053
-128.69,48.45,2769.2029863319,2769.210507067718,-0.007520735818161484
-127.507,47.82,3186.440242665,3186.679206830183,-0.23896416518300612
-127.7195,47.866,3125.1944595484,3125.223364819531,-0.028905271130952315
-128.6633,47.8967,2834.3047659322,2834.2800385858186,0.024727346381496318
-129.097,47.9533,2560.127769167,2560.167594568261,-0.03982540126071399
-128.8368,47.8645,2784.956400744,2784.924407118712,0.03199362528766869
-127.7862,47.7101,3131.0809615255,3131.0823492328705,-0.0013877073706680676
-128.623,47.8821,2878.245212131,2878.235592306218,0.009619824781566422
-128.66,48.45,2769.2029863319,2769.210507067718,-0.007520735818161484
-126.3007,48.3176,3394.8330017383,3396.2243799763723,-1.3913782380723205
-127.781,47.7671,3122.2963090442,3122.2858511174754,0.010457926724484423
-128.62,48.46,2825.8179495516,2825.8114548901644,0.006494661435681337
-128.485,48.4633,2869.7054489726,2869.6364198321994,0.06902914040074393
-129.31,48.91,2648.5780300044,2649.6429677770843,-1.064937772684516
-128.8233,47.9632,2747.8607457324,2747.8289740918726,0.03177164052749504
-127.715,47.7732,3142.6228468161,3142.6098049587235,0.013041857376265398
-128.7,48.46,2769.2029863319,2769.210507067718,-0.007520735818161484
-128.658,47.8908,2834.3047659322,2834.2800385858186,0.024727346381496318
-128.595,48.4733,2825.8179495516,2825.7237553112104,0.09419424038969737
-129.1,47.9487,2533.0125113404,2533.132032994773,-0.11952165437287476
