long,lat,q_ps_test_data,q_ps_predicted,residual
-127.7847,47.7099,262.38779189237,262.38263610736965,0.005155785000340529
-128.562,47.9255,437.77934178494,437.8893574164227,-0.11001563148266769
-128.6967,48.4767,615.10439485193,615.1186686132096,-0.014273761279582686
-128.7073,48.4605,615.10439485193,615.1051542517621,-0.0007593998320771789
-126.627,48.1477,194.6275181369,194.57091059330736,0.05660754359263365
-128.68,48.42,531.15760845266,531.1566858552917,0.0009225973683442135
-128.67,48.42,531.15760845266,531.1809499915265,-0.023341538866475275
-126.977,48.425,219.8009571006,218.28608095930323,1.514876141296753
-128.7717,48.5067,807.68141835452,809.358099647727,-1.6766812932070252
-128.78,48.385,649.51371744501,649.6694415378216,-0.15572409281162436
-127.783,47.7098,262.38779189237,262.38263610736965,0.005155785000340529
-128.582,47.9293,437.77934178494,437.8004199768093,-0.02107819186926463
-127.755,47.72,262.38779189237,262.38263610736965,0.005155785000340529
-128.6383,48.4817,508.22227635983,508.5243804016903,-0.3021040418602752
-128.82,48.43,649.51371744501,649.4258635747767,0.08785387023328894
-128.665,48.4183,531.15760845266,531.1490293723679,0.008579080292179242
-129.095,47.953,2753.9345346423,2754.2241273188674,-0.28959267656728116
-128.74,48.45,615.10439485193,614.8806491966353,0.22374565529469237
-128.7102,48.4533,615.10439485193,615.1045832708113,-0.0001884188812937282
-129.092,47.9569,2753.9345346423,2754.1700148268083,-0.2354801845081056
-127.6738,47.8583,264.85829724021,264.8449276647626,0.013369575447370607
-128.6168,47.9358,437.77934178494,437.79960484555863,-0.0202630606186176
-127.794,47.7084,262.38779189237,262.37765829993094,0.010133592439046879
-127.795,47.712,262.38779189237,262.37765829993094,0.010133592439046879
-126.382,48.2579,189.00025789345,188.7332897447138,0.266968148736197
-127.7891,47.7101,262.38779189237,262.38263610736965,0.005155785000340529
-128.6683,48.4633,615.10439485193,615.2375469556023,-0.13315210367227337
-127.778,47.7241,262.38779189237,262.38263610736965,0.005155785000340529
-126.7,48.17,199.98560954811,200.93263485262244,-0.9470253045124366
-128.6517,48.4483,531.15760845266,531.1888653172485,-0.03125686458849941
-128.698,47.8837,495.3203091145,495.3152060576154,0.005103056884593116
-126.87,48.6833,200.93636013052,201.08981837038394,-0.15345823986393725
-128.71,48.32,527.67515477576,527.8300665474338,-0.15491177167382375
-129.15,48.0,891.98777747395,884.8597907090648,7.127986764885236
-128.6814,48.4311,531.15760845266,531.1566858552917,0.0009225973683442135
-128.87,48.37,937.25075677736,946.5696904211064,-9.31893364374639
