lon,lat,grav,age,q,ps_q,stein_q,z_ps,z_stein,bathy
-133.0000031,43.70000087,-15.57466793,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3703
-133.0000031,43.81666754,-14.68577766,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3685
-133.0000031,43.93333421,-16.89554024,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3719
-133.0000031,44.05000088,-13.60762405,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3718
-133.0000031,44.16666755,-15.59611988,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3737
-133.0000031,44.28333422,-17.01155853,5.6550808,134,198.9487669,214.462206,3332.314483,14272.67768,-3768
-133.0000031,44.40000089,-10.72023296,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3754
-133.0000031,44.51666756,-15.97378254,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3758
-133.0000031,44.63333423,-17.00940132,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3730
-133.0000031,44.75000089,-16.84811974,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3731
-133.0000031,44.86666756,-20.60605049,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3751
-133.0000031,44.98333423,-21.92203522,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3766
-133.0000031,45.1000009,-18.1336422,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3485
-133.0000031,45.21666757,-17.73460197,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3675
-133.0000031,45.33333424,-13.54744339,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3703
-133.0000031,45.45000091,-10.41956043,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3693
-133.0000031,45.56666758,-12.933918,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3666
-133.0000031,45.68333425,-14.86134338,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3749
-133.0000031,45.80000092,-18.34850121,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3768
-133.0000031,45.91666758,-14.46426296,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3745
-133.0000031,46.03333425,-17.94752884,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3758
-133.0000031,46.15000092,-20.32788658,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3777
-133.0000031,46.26666759,-20.43980026,7.888742,33,168.4444796,181.5792842,3483.041655,25314.77138,-3789
-133.0000031,46.38333426,-19.72696495,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3746
-133.0000031,46.50000093,-16.86388016,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3703
-133.0000031,46.6166676,-16.01048851,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3708
-133.0000031,46.73333427,-20.38207436,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3745
-133.0000031,46.85000094,-17.75664139,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3606
-133.0000031,46.96666761,-10.63591957,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3446
-133.0000031,47.08333427,-10.91671467,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3489
-133.0000031,47.20000094,-8.376596451,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3467
-133.0000031,47.31666761,-10.03928185,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3437
