lat,long,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,bathy
41.07,-132.37,10.360166,40.2,146.9864503,158.4480209,-4.296496391,3626.552411,3774.833229,-3132
47.9,-127.65,3.1907601,304,264.8582972,285.5111674,3.032176971,3125.19446,3251.988508,-2652
47.25,-131.03,5.1738672,110,207.99506,224.2139023,-12.57196617,3296.114773,3430.233978,-2985
44.65,-125.14,9.5422888,94,153.1561289,165.0987929,-24.02614021,3581.170837,3727.50673,-836
44.65,-125.07,9.5422888,41,153.1561289,165.0987929,-16.33102798,3581.170837,3727.50673,-982
44.65,-125.06,9.5422888,42,153.1561289,165.0987929,-16.33102798,3581.170837,3727.50673,-1046
44.65,-125.02,9.8048306,79,151.0917014,162.8733874,-16.33102798,3595.943314,3742.912314,-1002
44.65,-124.97,9.8048306,77,151.0917014,162.8733874,-22.01154518,3595.943314,3742.912314,-781
47.23,-126.15,6.8040028,26,181.3754142,195.5185349,-25.05021858,3412.956923,3552.083648,-2420
47.23,-126.15,6.8040028,27,181.3754142,195.5185349,-25.05021858,3412.956923,3552.083648,-2420
47.24,-126.14,7.0875106,21,177.7107903,191.5681545,-25.05021858,3431.783263,3571.716831,-2438
47.29,-126.08,7.1277666,104,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2077
47.29,-126.08,7.1277666,99,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2077
47.3,-126.09,7.1277666,101,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2074
47.3,-126.09,7.1277666,108,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2074
47.3,-126.09,7.1277666,77,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2074
47.29,-126.11,7.1277666,93,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2020
47.28,-126.12,7.1277666,96,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2197
47.28,-126.12,7.1277666,99,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2197
47.28,-126.13,7.1277666,104,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2316
47.27,-126.14,7.1277666,159,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2421
47.27,-126.14,7.1277666,142,177.2082447,191.0264219,-14.81813812,3434.425711,3574.472527,-2421
47.27,-126.15,6.8401093,137,180.8960727,195.0018158,-14.81813812,3415.376092,3554.606496,-2462
47.27,-126.15,6.8401093,141,180.8960727,195.0018158,-14.81813812,3415.376092,3554.606496,-2462
47.27,-126.15,6.8401093,156,180.8960727,195.0018158,-14.81813812,3415.376092,3554.606496,-2462
47.25,-126.17,6.8040028,138,181.3754142,195.5185349,-25.05021858,3412.956923,3552.083648,-2462
47.44,-126.38,6.4628758,106,186.1005917,200.6121679,-26.69879341,3389.776537,3527.909817,-2386
47.44,-126.38,6.4628758,108,186.1005917,200.6121679,-26.69879341,3389.776537,3527.909817,-2386
47.44,-126.38,6.4628758,112,186.1005917,200.6121679,-26.69879341,3389.776537,3527.909817,-2386
47.45,-126.36,6.5422029,109,184.9688747,199.3922029,-26.69879341,3395.220562,3533.587158,-2377
47.45,-126.36,6.5422029,118,184.9688747,199.3922029,-26.69879341,3395.220562,3533.587158,-2377
47.46,-126.33,6.8071642,102,181.3332919,195.473128,-26.69879341,3413.168996,3552.30481,-2413
47.46,-126.29,6.8071642,124,181.3332919,195.473128,-24.73423767,3413.168996,3552.30481,-2349
47.46,-126.29,6.8071642,108,181.3332919,195.473128,-24.73423767,3413.168996,3552.30481,-2349
47.46,-126.26,6.8071642,114,181.3332919,195.473128,-24.73423767,3413.168996,3552.30481,-2260
47.46,-126.22,7.0861001,122,177.7284762,191.5872195,-24.73423767,3431.69054,3571.620135,-2359
47.46,-126.22,7.0861001,117,177.7284762,191.5872195,-24.73423767,3431.69054,3571.620135,-2359
47.46,-126.22,7.0861001,89,177.7284762,191.5872195,-24.73423767,3431.69054,3571.620135,-2359
47.46,-126.19,7.0861001,118,177.7284762,191.5872195,-24.73423767,3431.69054,3571.620135,-2294
47.46,-126.18,7.0861001,139,177.7284762,191.5872195,-24.73423767,3431.69054,3571.620135,-2275
47.46,-126.16,7.0861001,57,177.7284762,191.5872195,-6.165018082,3431.69054,3571.620135,-2005
44.95,-125.2,9.2965679,71,155.1669902,167.2664552,-23.75463867,3567.159579,3712.89499,-1334
44.95,-125.22,9.2965679,61,155.1669902,167.2664552,-23.75463867,3567.159579,3712.89499,-1205
44.95,-125.23,9.2965679,55,155.1669902,167.2664552,-23.75463867,3567.159579,3712.89499,-1250
44.95,-125.25,9.0883245,28,156.934615,169.1719142,-38.20376205,3555.139683,3700.359955,-1218
44.95,-125.41,8.9141588,89,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2663
44.95,-125.37,8.9141588,95,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2471
44.95,-125.37,8.9141588,99,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2471
44.95,-125.37,8.9141588,102,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2471
44.95,-125.37,8.9141588,104,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2471
44.95,-125.38,8.9141588,113,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2475
44.95,-125.4,8.9141588,110,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2600
44.95,-125.42,8.9141588,125,158.4603007,170.8165684,-63.85134125,3544.980599,3689.765482,-2726
44.93,-125.27,9.1318445,125,156.5602136,168.7683181,-38.20376205,3557.662967,3702.99138,-1550
44.93,-125.27,9.1318445,202,156.5602136,168.7683181,-38.20376205,3557.662967,3702.99138,-1550
44.95,-125.47,8.6826057,122,160.5593567,173.0793026,-63.85134125,3531.319154,3675.518547,-2772
44.95,-125.52,8.6826057,152,160.5593567,173.0793026,-59.42253876,3531.319154,3675.518547,-2753
44.95,-125.52,8.6826057,139,160.5593567,173.0793026,-59.42253876,3531.319154,3675.518547,-2753
44.95,-125.58,8.4492979,165,162.7609993,175.4526228,-59.42253876,3517.368661,3660.970175,-2747
44.95,-125.64,8.4492979,113,162.7609993,175.4526228,-50.7746315,3517.368661,3660.970175,-2777
44.65,-125.27,9.1559649,65,156.3538571,168.5458705,-66.54668427,3559.058875,3704.447112,-2251
44.65,-125.3,9.1559649,70,156.3538571,168.5458705,-66.54668427,3559.058875,3704.447112,-2041
44.65,-125.3,9.1559649,73,156.3538571,168.5458705,-66.54668427,3559.058875,3704.447112,-2041
44.65,-125.32,9.1559649,62,156.3538571,168.5458705,-66.54668427,3559.058875,3704.447112,-2387
44.65,-125.32,9.1559649,52,156.3538571,168.5458705,-66.54668427,3559.058875,3704.447112,-2387
44.65,-125.34,9.1559649,105,156.3538571,168.5458705,-66.54668427,3559.058875,3704.447112,-2697
44.65,-125.37,8.9884195,32,157.8043579,170.1094771,-77.86420441,3549.324253,3694.295293,-2864
44.65,-125.4,8.9884195,101,157.8043579,170.1094771,-77.86420441,3549.324253,3694.295293,-2873
44.65,-125.47,8.7853642,94,159.6175991,172.0641095,-77.86420441,3537.404027,3681.864199,-2860
40.75,-127.4,0.14659698,225,1235.657607,1332.010549,-1.254135013,2634.007948,2739.751145,-3234
40.74,-127.55,0.22720698,1656,992.5441281,1069.939797,-34.42725754,2666.831817,2773.981752,-3250
40.74,-127.57,0.22720698,576,992.5441281,1069.939797,-34.42725754,2666.831817,2773.981752,-3308
40.75,-127.4,0.14659698,240,1235.657607,1332.010549,-1.254135013,2634.007948,2739.751145,-3234
40.75,-127.42,0.14659698,316,1235.657607,1332.010549,-1.254135013,2634.007948,2739.751145,-3222
40.75,-127.43,0.14659698,371,1235.657607,1332.010549,-1.254135013,2634.007948,2739.751145,-3224
40.74,-127.58,0.22720698,832,992.5441281,1069.939797,2.126747847,2666.831817,2773.981752,-3228
40.75,-127.6,0.22720698,907,992.5441281,1069.939797,2.126747847,2666.831817,2773.981752,-3188
40.75,-127.62,0.22720698,341,992.5441281,1069.939797,2.126747847,2666.831817,2773.981752,-2918
40.76,-127.66,0.53983307,329,643.9185199,694.1293901,2.126747847,2757.156666,2868.177666,-2531
40.75,-127.66,0.52487373,386,653.0301616,703.9515308,2.126747847,2753.568594,2864.43582,-2573
40.76,-127.67,0.53983307,302,643.9185199,694.1293901,2.126747847,2757.156666,2868.177666,-2562
40.76,-127.69,0.53983307,313,643.9185199,694.1293901,2.126747847,2757.156666,2868.177666,-2620
40.98,-127.54,0.021391379,352,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3292
41,-127.54,0.021391379,302,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3289
41,-127.53,0.021391379,472,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3303
41,-127.52,0.021391379,192,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3300
41.01,-127.51,0.021391379,1586,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3309
41.02,-127.47,0.021391379,463,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3284
41,-127.47,0.021391379,235,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3321
41.01,-127.47,0.021391379,274,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3305
41.01,-127.47,0.021391379,1804,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3305
41.02,-127.47,0.021391379,280,3234.754069,3486.990666,-37.00662231,2551.190272,2653.384141,-3284
40.94,-127.51,0.047450688,176,2171.897884,2341.256085,-44.38734818,2576.241126,2679.508603,-3355
40.93,-127.52,0.047450688,299,2171.897884,2341.256085,-44.38734818,2576.241126,2679.508603,-3353
40.91,-127.52,0.047450688,219,2171.897884,2341.256085,-44.38734818,2576.241126,2679.508603,-3358
40.91,-127.49,0.047450688,511,2171.897884,2341.256085,-44.38734818,2576.241126,2679.508603,-3345
40.91,-127.48,0.047450688,213,2171.897884,2341.256085,-44.38734818,2576.241126,2679.508603,-3353
50.15,-123.38,8.4487114,58,162.7666486,175.4587126,-26.86304855,3517.333351,3660.933351,926
50.12,-123.45,8.4487114,71,162.7666486,175.4587126,-26.86304855,3517.333351,3660.933351,426
50.2,-123.53,8.1750021,63,165.4690306,178.3718184,0.306185842,3500.71862,3643.606561,551
50.18,-123.52,8.1750021,56,165.4690306,178.3718184,0.306185842,3500.71862,3643.606561,631
50.17,-123.52,8.1750021,39,165.4690306,178.3718184,46.3521843,3500.71862,3643.606561,304
50.45,-123.12,8.4487114,53,162.7666486,175.4587126,-41.64958572,3517.333351,3660.933351,852
50.45,-123.17,8.1750021,56,165.4690306,178.3718184,-13.4604969,3500.71862,3643.606561,1159
50.45,-123.2,8.1750021,69,165.4690306,178.3718184,-13.4604969,3500.71862,3643.606561,963
51.97,-121.17,8.9942894,63,157.7528559,170.0539591,-4.029141426,3549.666829,3694.65255,992
51.83,-121.15,8.9942894,63,157.7528559,170.0539591,-22.07441711,3549.666829,3694.65255,957
52,-120.95,8.9942894,58,157.7528559,170.0539591,2.014045954,3549.666829,3694.65255,1234
52,-120.82,8.9942894,61,157.7528559,170.0539591,36.96744537,3549.666829,3694.65255,1234
51.78,-120.37,8.9942894,113,157.7528559,170.0539591,10.87361526,3549.666829,3694.65255,816
51.82,-120.47,8.9942894,100,157.7528559,170.0539591,-20.58522987,3549.666829,3694.65255,1072
51.73,-120.15,8.9942894,92,157.7528559,170.0539591,40.15061188,3549.666829,3694.65255,1086
51.75,-120.07,8.9942894,107,157.7528559,170.0539591,-37.95819473,3549.666829,3694.65255,1007
51.15,-119.82,8.9942894,56,157.7528559,170.0539591,-0.721880555,3549.666829,3694.65255,1181
51.15,-119.8,8.9942894,67,157.7528559,170.0539591,-0.721880555,3549.666829,3694.65255,1181
51.15,-119.82,8.9942894,83,157.7528559,170.0539591,-0.721880555,3549.666829,3694.65255,1181
53.37,-130.15,2.2681541,75,314.1408252,338.6366018,-0.593140662,3027.113723,3149.704311,45
53.35,-130.13,2.2681541,75,314.1408252,338.6366018,12.8069582,3027.113723,3149.704311,55
53.35,-130.13,2.2681541,75,314.1408252,338.6366018,12.8069582,3027.113723,3149.704311,55
53.36,-130.13,2.2681541,117,314.1408252,338.6366018,12.8069582,3027.113723,3149.704311,48
53.37,-130.16,2.2681541,71,314.1408252,338.6366018,-0.593140662,3027.113723,3149.704311,50
53.37,-130.16,2.2681541,64,314.1408252,338.6366018,-0.593140662,3027.113723,3149.704311,50
53.37,-130.12,2.2681541,76,314.1408252,338.6366018,12.8069582,3027.113723,3149.704311,56
53.37,-130.16,2.2681541,51,314.1408252,338.6366018,-0.593140662,3027.113723,3149.704311,50
53.37,-130.16,2.2681541,87,314.1408252,338.6366018,-0.593140662,3027.113723,3149.704311,50
53.37,-130.16,2.2681541,88,314.1408252,338.6366018,-0.593140662,3027.113723,3149.704311,50
53.37,-130.16,2.2681541,81,314.1408252,338.6366018,-0.593140662,3027.113723,3149.704311,50
51.38,-120.07,8.9942894,70,157.7528559,170.0539591,23.43625069,3549.666829,3694.65255,1048
51.38,-120.07,8.9942894,72,157.7528559,170.0539591,23.43625069,3549.666829,3694.65255,1048
51.38,-120.07,8.9942894,71,157.7528559,170.0539591,23.43625069,3549.666829,3694.65255,1048
53.53,-132.22,9.16572,66,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,46,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,69,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,59,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,107,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,69,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,76,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,49,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
53.53,-132.22,9.16572,66,156.2706311,168.4561548,36.06626892,3559.622905,3705.035315,161
52.14,-128.05,1.3816251,91,402.4996914,433.8854322,15.70848751,2911.398924,3029.030307,45
52.15,-128.1,1.3816251,74,402.4996914,433.8854322,15.70848751,2911.398924,3029.030307,51
54.74,-126.62,1.238132,68,425.1842658,458.338883,-18.32457924,2889.44983,3006.140537,832
54.74,-126.62,1.238132,69,425.1842658,458.338883,-18.32457924,2889.44983,3006.140537,832
54.74,-126.62,1.238132,75,425.1842658,458.338883,-18.32457924,2889.44983,3006.140537,832
54.74,-126.62,1.238132,91,425.1842658,458.338883,-18.32457924,2889.44983,3006.140537,832
54.74,-126.62,1.238132,74,425.1842658,458.338883,-18.32457924,2889.44983,3006.140537,832
54.2,-126.26,4.2815824,60,228.6433137,246.4722461,-27.58060837,3224.219472,3355.25745,724
