long,lat,FA,age,q_ihfc,q_ps,q_stein,ps_z,stein_z,bathy
-128.9166696449996,45.10000090199982,-8.326332092285156,2.2878205453368197,170.7594006104417,312.7877104264257,337.17797510565674,3029.3940090365213,4510.454839397821,-2813.6996364800916
-128.9166696449996,45.21666757099982,-4.583536148071289,2.1645986130114996,155.17184472001026,321.56736805033,346.64224458003343,3014.940122823915,4310.202811739728,-2786.4001377600102
-128.9166696449996,45.33333423999981,-5.879003524780273,2.055793690406207,135.04099147458572,329.9672935184212,355.69717150317933,3001.8313731471562,4142.5950095926,-2779.1001429599805
-128.9166696449996,45.45000090899981,-4.933279991149902,1.9469887678009008,114.91013822915878,339.0618567461771,365.5009019931802,2988.3708878051702,3983.6293206091477,-2789.998570400195
-128.9166696449996,45.56666757799981,-5.931483268737793,1.8381848511251113,94.78063105166889,348.9523019842976,376.16257502929926,2974.5288655738723,3833.3070946206344,-2782.7999486401986
-128.9166696449996,45.683334246999806,-8.236231803894043,1.765007877515934,122.32472845656295,356.1125957107365,383.8812073775812,2964.987596604148,3737.067274808055,-2764.800209599988
-128.9166696449996,45.8000009159998,-6.043553352355957,1.691830903906757,149.868825861457,363.73256239757444,392.0953566302415,2955.2464011154593,3644.7365097060933,-2785.3992528002063
-128.9166696449996,45.9166675849998,-7.975963592529297,1.6186539302975795,177.41292326635107,371.86358848345776,400.86041618910895,2945.292158544762,3556.3147993147477,-2759.000107200094
-128.9166696449996,46.0333342539998,-9.118926048278809,1.5454769566884017,204.95702067124515,380.56547984362527,410.24085541547953,2935.1102471722875,3471.8021436340177,-2749.100688719982
-128.9166696449996,46.150000922999794,-9.024581909179688,1.4722999830792247,232.5011180761392,389.9083227086892,420.31222565786504,2924.6842920655354,3391.198542663906,-2727.8016369597963
-128.9166696449996,46.26666759199979,-8.819817543029785,1.3615068847764404,234.31405894794,405.4625413226957,437.0793164411682,2908.3926950682567,3276.6008640121813,-2733.899412880118
-128.9166696449996,46.38333426099979,-7.816226005554199,1.245164698213241,233.7376598781497,423.98184387538157,457.0426996782229,2890.554318285078,3165.908820871912,-2715.1988563201558
-128.9166696449996,46.500000929999786,-4.948735237121582,1.1179414777156949,226.58453629392753,447.4568121011245,482.34817680593596,2870.0646308689506,3056.17449887296,-2706.197070720568
-128.9166696449996,46.61666759899978,-10.233673095703123,0.9463196516484618,193.3810290414998,486.34194748398664,524.2654605516054,2840.476368235648,2926.865122330064,-2726.7992230400832
